hotel_id;opcion_habitacion;camas
1;1;2 camas individuales, 1 cama doble
1;2;2 camas individuales, 1 cama doble, 1 cama doble grande
1;3;1 cama individual
1;4;1 cama doble, 2 camas individuales
2;1;1 cama doble, 2 camas individuales
2;2;2 camas individuales, 1 cama doble
2;3;1 cama doble, 2 camas individuales
2;4;1 cama doble, 2 camas individuales
2;5;1 cama doble
2;6;1 cama individual, 1 cama doble, 3 camas individuales
2;7;1 cama doble extragrande, 1 litera, 1 sofá cama
2;8;1 cama doble extragrande, 1 sofá cama
2;9;1 cama doble extragrande
3;1;1 cama doble extragrande, 2 camas individuales
3;2;1 cama individual, 1 cama doble extragrande
3;3;1 cama doble extragrande, 2 camas individuales
4;1;1 cama doble
4;2;3 camas individuales
4;3;2 camas individuales, 1 cama doble
5;1;2 camas individuales, 1 cama doble
5;2;3 camas individuales
5;3;4 camas individuales, 1 cama doble, 1 sofá cama
6;1;2 camas individuales, 1 cama doble extragrande
6;2;1 cama individual, 1 cama doble extragrande
6;3;1 cama doble
7;1;1 cama doble
7;2;1 cama doble, 2 camas individuales
7;3;1 cama doble, 2 camas individuales
7;4;1 cama doble
7;5;1 cama doble grande
7;6;1 cama doble grande, 2 camas individuales
7;7;1 cama doble grande, 2 camas individuales
7;8;1 cama individual, 1 cama doble grande
7;9;1 cama individual, 1 cama doble grande
8;1;1 cama doble grande
8;2;1 cama doble grande
8;3;2 camas individuales, 1 sofá cama
8;4;1 sofá cama, 1 cama doble grande
8;5;2 camas individuales
8;6;1 sofá cama, 1 cama doble grande
8;7;1 sofá cama, 1 cama doble grande
8;8;1 sofá cama, 1 cama doble grande
8;9;2 camas individuales
9;1;1 cama individual
9;2;2 camas individuales, 1 cama doble
9;3;3 camas individuales, 2 camas individuales, 1 litera
9;4;2 camas individuales, 1 litera
9;5;2 camas individuales, 1 cama doble
9;6;2 camas individuales
9;7;2 camas individuales, 1 cama doble
9;8;2 camas individuales, 1 cama doble
