hotel_id;categoria;nota
1;Personal;9,2
1;Instalaciones y servicios;9,1
1;Limpieza;9,5
1;Confort;9,5
1;Relación calidad-precio;8,7
1;Ubicación;9,8
1;WiFi gratis;9,0
2;Personal;9,4
2;Instalaciones y servicios;9,1
2;Limpieza;9,3
2;Confort;9,6
2;Relación calidad-precio;8,5
2;Ubicación;9,6
2;WiFi gratis;9,2
3;Personal;8,8
3;Instalaciones y servicios;8,1
3;Limpieza;8,7
3;Confort;8,6
3;Relación calidad-precio;7,8
3;Ubicación;9,5
3;WiFi gratis;8,6
4;Personal;9,5
4;Instalaciones y servicios;8,3
4;Limpieza;9,0
4;Confort;8,8
4;Relación calidad-precio;8,3
4;Ubicación;9,7
4;WiFi gratis;8,5
5;Personal;8,8
5;Instalaciones y servicios;8,2
5;Limpieza;8,7
5;Confort;8,6
5;Relación calidad-precio;8,0
5;Ubicación;9,4
5;WiFi gratis;8,3
6;Personal;9,0
6;Instalaciones y servicios;8,4
6;Limpieza;8,8
6;Confort;8,9
6;Relación calidad-precio;8,0
6;Ubicación;9,6
6;WiFi gratis;8,5
7;Personal;9,1
7;Instalaciones y servicios;8,5
7;Limpieza;8,9
7;Confort;9,0
7;Relación calidad-precio;7,9
7;Ubicación;9,6
7;WiFi gratis;8,7
8;Personal;9,0
8;Instalaciones y servicios;8,8
8;Limpieza;9,0
8;Confort;8,9
8;Relación calidad-precio;7,9
8;Ubicación;9,1
8;WiFi gratis;8,1
9;Personal;9,2
9;Instalaciones y servicios;8,8
9;Limpieza;9,1
9;Confort;9,1
9;Relación calidad-precio;8,3
9;Ubicación;9,7
9;WiFi gratis;8,5
10;Personal;9,0
10;Instalaciones y servicios;8,9
10;Limpieza;9,2
10;Confort;9,3
10;Relación calidad-precio;8,4
10;Ubicación;9,7
11;Personal;9,2
11;Instalaciones y servicios;8,7
11;Limpieza;9,1
11;Confort;9,1
11;Relación calidad-precio;8,2
11;Ubicación;9,7
11;WiFi gratis;8,7
12;Personal;9,1
12;Instalaciones y servicios;8,7
12;Limpieza;9,0
12;Confort;9,0
12;Relación calidad-precio;7,9
12;Ubicación;9,4
12;WiFi gratis;8,1
13;Personal;9,1
13;Instalaciones y servicios;8,8
13;Limpieza;9,1
13;Confort;9,1
13;Relación calidad-precio;8,3
13;Ubicación;9,7
13;WiFi gratis;8,6
14;Personal;9,5
14;Instalaciones y servicios;8,7
14;Limpieza;9,2
14;Confort;9,2
14;Relación calidad-precio;8,4
14;Ubicación;9,7
14;WiFi gratis;9,2
15;Personal;9,0
15;Instalaciones y servicios;8,4
15;Limpieza;8,8
15;Confort;8,7
15;Relación calidad-precio;7,9
15;Ubicación;9,2
15;WiFi gratis;8,5
16;Personal;8,9
16;Instalaciones y servicios;8,7
16;Limpieza;8,8
