hotel_id;comentario
1;Mejor de lo que creí. Muy espacioso, cómodo, limpio. Lo volvería a elegir.
1;Magnfica Ubicacion. El Desayuno es bueno pero entiendo que era limitado. La habitacion era inmejorable. El Servicio muy bueno.
1;Lo limpio y lo cuidado que estaba, un hotel mágico
1;"Nos gustó la limpieza y la buena atención.
La ubicación es inmejorable, en plena Gran Vía."
1;La atencion del personal de primera y la ubicacion inigualable. Cerca a zona comercial, sin embargo se descansa bien.
1;Excelente hotel, por la atención de su personal, las unstalaciones en general y su ubicación y arquitectura. Ojalá en el futuro puedan anexar un gimnasio.
1;Me gusto mas la calidez del personal y la excelente ubicacion. Cerca de tiendas y transporte.
1;La ubicación perfecta y la terraza del 9no piso, maravillosa! Súper limpio.
1;La ubicación perfecta!! Limpieza no deja desear mas.
1;La calidad de las instalaciones, y el buen gusto. También la calidez del personal. Volvería a elegir al Hotel Atlántico.
2;"La ubicación, muy buena.
La atención del personal."
2;Excelente ubicación, habitación increíble con una vista extraordinaria
2;Spa increible, personal amable, ubicacion muy buena y estaba todo muy limpio
2;"La habitacion aunque requiere mejor ropa de cama y almohadas más cómodas.
Sería excelente poder tener streaming vía vincular celular propio.
Sin duda su restaurant es muy agradable, buen servicio y excelente bufete
En General es un Hotel muy..."
2;Completamente nuevo, bien decorado, el personal muy amable
2;"El hotel en perfecto estado de limpieza y mantenimiento. El personal de restaurante muy agradable. Sinceramente, muy por encima de lo normal en el centro de Madrid.

El desayuno excepcional. Gran surtido, limpieza y personal inmejorable. Una..."
2;Excelente Hotel en la Gran Vía de Madrid, sin duda 100% recomendable. Diseñado moderno, personal muy amable. Las vistas desde la terraza son una visión distinta de Madrid y el Spa sorprendente.
2;"El hotel es totalmente nuevo y decorado con mucho gusto, espacios muy grandes pero al mismo tiempo acogedores. 
El personal fue muy atento y muy cercano ( eso lo valoro mucho ya que cada vez cuesta más encontrar hoteles con alma) 
La habitación..."
2;Nos ha gustado todo. Las instalaciones el restaurante. Un chuletón excelente. Desayuno súper completo la amabilidad del personal ,la ubicación no ha podido ser mejor
2;Lo que más me gustó fue el trato del personal, la comodidad de las camas y el SPA que es el mejor en el que he estado. Un Hotelazo .
3;Ubicacion, ducha, acogedor, trato muy agradable del personal
3;Muy moderno, cómodo, super bien ubicado, habitaciones silenciosas, la ducha salía espectacular, contábamos con cafetera y minibar, caja fuerte. Todo muy bien y la atención espectacular!
3;Es muy lindo y confortable. Muy limpio y gran atención. La ubicación es excelente. La única crítica es que el cuarto es tanto pequeño.
3;"Me encantó el trato recibido por las recepcionistas. Muy profesionales, agradables, cariñosas y atentas. Felicitaciones a las dos chicas que nos trataron.
También las habitaciones. Cuando entramos nos dió la sensación de que no era tan bonito el..."
3;Me gustó la comodidad de la cama y sin duda la ubicación es bastante estratégica. Sin emabargo como me tocó hacer early check in solo estaba disponible la habitación para discapacitados que no era la mas bonita. Sin embargo tiene maravillosa...
