hotel_id;ciudad;tipo;nombre;estrellas
1;Madrid;hotel;Hotel Atlántico;4
2;Madrid;hotel;Catalonia Plaza España Hotel & Spa;4
3;Madrid;hotel;Soho Boutique Opera;4
4;Madrid;hotel;Hotel Miau;3
5;Madrid;hotel;Hotel Cortezo;3
6;Madrid;hotel;Soho Boutique Congreso;4
7;Madrid;hotel;NH Collection Madrid Suecia;5
8;Madrid;hotel;Novotel Madrid Center;4
9;Madrid;hotel;Grupotel Mayorazgo;4
10;Madrid;hotel;Preciados;4
11;Madrid;hotel;Catalonia Gran Vía Madrid;4
12;Madrid;hotel;NH Madrid Nacional;4
13;Madrid;hotel;Intelier Palacio San Martin;4
14;Madrid;hotel;Ikonik Gran Vía;4
15;Madrid;hotel;Eurostars Central;4
16;Madrid;hotel;Gran View Apartments;4
17;Madrid;hotel;H10 Puerta de Alcalá;4
18;Madrid;hotel;Catalonia Puerta del Sol;4
19;Madrid;hotel;madrid central gran via Suites;4
20;Madrid;hotel;Emperador;4
21;Madrid;hotel;Gran Central Suites;3
22;Madrid;hotel;Espahotel Gran Vía;3
23;Madrid;hotel;Leonardo Hotel Madrid City Center;3
24;Madrid;hotel;limehome Madrid Calle Ave María - estancia temporal;3
25;Madrid;hotel;Petit Palace Alcalá;4
26;Madrid;hostal;Hostal Aresol;2
27;Madrid;hostal;Hs Madrid Centro Atocha;2
28;Madrid;hostal;EMBA ROOM;3
29;Madrid;hostal;Hostal Santo Domingo;3
30;Madrid;hostal;The Match Madrid;3
31;Madrid;hostal;Madrid First Stop- Lope de Vega's Dream Coliving;0
32;Madrid;hostal;Le Petit Palü-Fuencarral;3
33;Madrid;hostal;Hostal Retiro;3
34;Madrid;hostal;Hostal Moncloa;3
35;Madrid;hostal;Queens Bernabéu - Alquiler Corta Duración;3
36;Madrid;hostal;Ibis Budget Madrid Calle Alcalá;3
37;Madrid;hostal;Golden Alcala;3
38;Madrid;hostal;Hostal Las Torres;1
39;Madrid;hostal;Hostal La Zona;3
40;Madrid;hostal;Fuencarral Rooms;3
