hotel_id;seccion;poi
1;¿Qué hay cerca?;"Palacio De La Prensa
100 m"
1;¿Qué hay cerca?;"Jardim del Retiro, Madrid
100 m"
1;¿Qué hay cerca?;"Iglesia de la Buena Dicha
200 m"
1;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
250 m"
1;¿Qué hay cerca?;"Iglesia de Ntra Sra del Carmen
300 m"
1;¿Qué hay cerca?;"Oratorio Caballero De Gracia
350 m"
1;¿Qué hay cerca?;"Convento De Las Madres Mercedarias
400 m"
1;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
400 m"
1;¿Qué hay cerca?;"Palacio De Gaviria
400 m"
1;¿Qué hay cerca?;"Carlos III Rey de España
400 m"
1;Restaurantes y cafeterías;"RestauranteThe Holy Ground
50 m"
1;Restaurantes y cafeterías;"Cafetería/barEl Piano
50 m"
1;Restaurantes y cafeterías;"RestauranteEl Águila
50 m"
1;Atracciones turísticas destacadas;"Puerta del Sol
500 m"
1;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
650 m"
1;Atracciones turísticas destacadas;"Plaza de Oriente
750 m"
1;Atracciones turísticas destacadas;"Plaza de Santa Ana
850 m"
1;Atracciones turísticas destacadas;"Jardines de Sabatini
950 m"
1;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,2 km"
1;Atracciones turísticas destacadas;"Templo de Debod
1,3 km"
1;Atracciones turísticas destacadas;"Museo Reina Sofía
1,9 km"
1;Atracciones turísticas destacadas;"Casa de Campo
1,9 km"
1;Atracciones turísticas destacadas;"Parque de El Retiro
2,1 km"
1;Entorno natural;"BosqueMonte del Pilar
14 km"
1;Transporte público;"MetroEstación de metro Callao
50 m"
1;Transporte público;"MetroEstación de metro Gran Vía
250 m"
1;Transporte público;"TrenBilbao
1,2 km"
1;Transporte público;"TrenRecoletos
1,5 km"
1;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
1;Transporte público;"AutobúsMadre Antonia de Paris
6 km"
1;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
12 km"
1;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
2;¿Qué hay cerca?;"Coliseum
50 m"
2;¿Qué hay cerca?;"Monumento A Miguel De Cervantes
250 m"
2;¿Qué hay cerca?;"Iglesia San Marcos
300 m"
2;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
350 m"
2;¿Qué hay cerca?;"Iglesia de la Buena Dicha
400 m"
2;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
400 m"
2;¿Qué hay cerca?;"Palacio del Marqués de Sta. Cruz
400 m"
2;¿Qué hay cerca?;"El Invernadero
400 m"
2;¿Qué hay cerca?;"Palacio del Marqués de Grimaldi
500 m"
2;¿Qué hay cerca?;"Lope De Vega
500 m"
2;Restaurantes y cafeterías;"RestauranteParrilla de María
10 m"
2;Restaurantes y cafeterías;"RestauranteMuseo del Jamón
20 m"
2;Restaurantes y cafeterías;"RestauranteTrek Taco
30 m"
2;Atracciones turísticas destacadas;"Jardines de Sabatini
550 m"
2;Atracciones turísticas destacadas;"Templo de Debod
750 m"
2;Atracciones turísticas destacadas;"Plaza de Oriente
750 m"
2;Atracciones turísticas destacadas;"Puerta del Sol
900 m"
2;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
950 m"
2;Atracciones turísticas destacadas;"Plaza de Santa Ana
1,2 km"
2;Atracciones turísticas destacadas;"Casa de Campo
1,5 km"
2;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,7 km"
2;Atracciones turísticas destacadas;"Museo Reina Sofía
2,3 km"
2;Atracciones turísticas destacadas;"Parque de El Retiro
2,6 km"
2;Entorno natural;"BosqueMonte del Pilar
13 km"
2;Transporte público;"MetroEstación de metro Plaza de España
100 m"
2;Transporte público;"MetroEstación de metro Santo Domingo
200 m"
2;Transporte público;"TrenBilbao
1,4 km"
2;Transporte público;"TrenRecoletos
2 km"
2;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
2;Transporte público;"AutobúsMadre Antonia de Paris
6 km"
2;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
12 km"
2;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
3;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
100 m"
3;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
150 m"
3;¿Qué hay cerca?;"El Invernadero
250 m"
3;¿Qué hay cerca?;"Palacio De La Prensa
300 m"
3;¿Qué hay cerca?;"Palacio De Gaviria
350 m"
3;¿Qué hay cerca?;"Jardim del Retiro, Madrid
350 m"
3;¿Qué hay cerca?;"Iglesia de la Buena Dicha
400 m"
3;¿Qué hay cerca?;"Iglesia de Ntra Sra del Carmen
400 m"
3;¿Qué hay cerca?;"Plaza de Oriente
450 m"
3;¿Qué hay cerca?;"Lope De Vega
500 m"
3;Restaurantes y cafeterías;"RestauranteEl Labriego
10 m"
3;Restaurantes y cafeterías;"RestauranteMareas Vivas
50 m"
3;Restaurantes y cafeterías;"RestauranteInti de Oro Callao Gran Vía
10 m"
3;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
500 m"
3;Atracciones turísticas destacadas;"Puerta del Sol
550 m"
3;Atracciones turísticas destacadas;"Jardines de Sabatini
750 m"
3;Atracciones turísticas destacadas;"Plaza de Santa Ana
900 m"
3;Atracciones turísticas destacadas;"Templo de Debod
1,2 km"
3;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,4 km"
3;Atracciones turísticas destacadas;"Casa de Campo
1,7 km"
3;Atracciones turísticas destacadas;"Museo Reina Sofía
1,9 km"
3;Atracciones turísticas destacadas;"Parque de El Retiro
2,4 km"
3;Entorno natural;"BosqueMonte del Pilar
14 km"
3;Transporte público;"MetroEstación de metro Callao
250 m"
3;Transporte público;"MetroEstación de metro Santo Domingo
250 m"
3;Transporte público;"TrenBilbao
1,5 km"
